station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
37 Ave & 63 St,120,40.74893,-73.89981,146,266,26,26,0.0977443609022556,net_inflow_accumulation
37 St & 24 Ave,218,40.7701477,-73.9120938,260,478,42,42,0.0878661087866108,net_inflow_accumulation
38 Ave & 29 St,392,40.75473,-73.93367,401,793,9,9,0.0113493064312736,net_inflow_accumulation
38 St & 30 Ave,809,40.764174520197685,-73.91583994030952,794,1603,-15,15,-0.0093574547723019,net_outflow_shortage
38 St & Northern Blvd,192,40.752372,-73.925384,181,373,-11,11,-0.0294906166219839,net_outflow_shortage
39 Ave & 45 St,205,40.74947822183477,-73.91826465725897,264,469,59,59,0.1257995735607676,net_inflow_accumulation
39 Ave & 54 St,49,40.74891,-73.90899,86,135,37,37,0.2740740740740741,net_inflow_accumulation
39 Ave & 56 St,88,40.74838,-73.90699,109,197,21,21,0.1065989847715736,net_inflow_accumulation
39 Ave & 99 St,120,40.74962,-73.86677,53,173,-67,67,-0.3872832369942196,net_outflow_shortage
39 Dr & 52 St,279,40.74732,-73.91197,356,635,77,77,0.121259842519685,net_inflow_accumulation
39 St & 47 Ave,234,40.74215636827728,-73.92662644386292,193,427,-41,41,-0.0960187353629976,net_outflow_shortage
39 St & 50 Ave,250,40.73824937345944,-73.92737478017807,268,518,18,18,0.0347490347490347,net_inflow_accumulation
39 St & Queens Blvd,320,40.74431,-73.92601,321,641,1,1,0.0015600624024961,net_inflow_accumulation
4 Ave & 17 St,271,40.665507,-73.993037,274,545,3,3,0.0055045871559633,net_inflow_accumulation
4 Ave & 26 St,250,40.660079,-73.998633,241,491,-9,9,-0.0183299389002036,net_outflow_shortage
4 Ave & 3 St,719,40.673746,-73.985649,819,1538,100,100,0.0650195058517555,net_inflow_accumulation
4 Ave & E 12 St,2310,40.732647,-73.99011,2344,4654,34,34,0.0073055436183927,net_inflow_accumulation
4 Ave & Shore Road Dr,123,40.637033,-74.022141,165,288,42,42,0.1458333333333333,net_inflow_accumulation
4 St & River St,0,40.7408139,-74.0274062,1,1,1,1,1.0,net_inflow_accumulation
40 Ave & 9 St,195,40.75742,-73.945133,205,400,10,10,0.025,net_inflow_accumulation
40 Ave & Crescent St,328,40.7535992020056,-73.93795609474182,270,598,-58,58,-0.0969899665551839,net_outflow_shortage
40 St & 3 Ave,47,40.6535,-74.00902,31,78,-16,16,-0.2051282051282051,net_outflow_shortage
40 St & Queens Blvd,417,40.743540273428685,-73.92435193061829,412,829,-5,5,-0.0060313630880579,net_outflow_shortage
41 Ave & 67 St,69,40.74446,-73.89764,79,148,10,10,0.0675675675675675,net_inflow_accumulation
41 Ave & 77 St,321,40.74557,-73.8882,158,479,-163,163,-0.3402922755741127,net_outflow_shortage
41 Ave & 80 St,178,40.74586,-73.88539,100,278,-78,78,-0.2805755395683453,net_outflow_shortage
41 St & 3 Ave,27,40.652512,-74.008906,20,47,-7,7,-0.1489361702127659,net_outflow_shortage
41 St & 4 Ave,172,40.651354,-74.007168,177,349,5,5,0.0143266475644699,net_inflow_accumulation
42 Ave & 108 St,30,40.74944,-73.85792,34,64,4,4,0.0625,net_inflow_accumulation
42 Pl & Northern Blvd,236,40.753091,-73.920603,229,465,-7,7,-0.0150537634408602,net_outflow_shortage
42 St & 1 Ave,60,40.654798,-74.014372,39,99,-21,21,-0.2121212121212121,net_outflow_shortage
43 Ave & 111 St,41,40.74955,-73.85464,67,108,26,26,0.2407407407407407,net_inflow_accumulation
43 Ave & 40 St,339,40.74562,-73.92402,403,742,64,64,0.0862533692722372,net_inflow_accumulation
43 Ave & 42 St,459,40.74534682580983,-73.9219419658184,518,977,59,59,0.0603889457523029,net_inflow_accumulation
43 Ave & 47 St,323,40.7448062877224,-73.91728967428207,315,638,-8,8,-0.012539184952978,net_outflow_shortage
43 St & 23 Ave,203,40.769673,-73.906018,273,476,70,70,0.1470588235294117,net_inflow_accumulation
43 St & 35 Ave,182,40.754139,-73.919543,213,395,31,31,0.0784810126582278,net_inflow_accumulation
43 St & 37 Ave,58,40.750181,-73.919998,43,101,-15,15,-0.1485148514851485,net_outflow_shortage
43 St & 50 Ave,303,40.73787237950538,-73.92264068126678,336,639,33,33,0.0516431924882629,net_inflow_accumulation
43 St & Broadway,316,40.7577284,-73.9166368,377,693,61,61,0.088023088023088,net_inflow_accumulation
43 St & Skillman Ave,354,40.74692675687384,-73.9208248257637,370,724,16,16,0.0220994475138121,net_inflow_accumulation
44 Dr & 21 St,1261,40.748036,-73.946705,871,2132,-390,390,-0.1829268292682926,net_outflow_shortage
