station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
3 Ave & E 72 St,2685,40.7699426,-73.96060712,2685,5370,0,0,0.0,balanced
3 Ave & E 81 St,2300,40.775744,-73.9563752,2311,4611,11,11,0.0023855996530036,net_inflow_accumulation
3 Ave & E 82 St,2622,40.775744,-73.9563752,2657,5279,35,35,0.0066300435688577,net_inflow_accumulation
3 Ave & E Tremont Ave,424,40.84649,-73.89616,416,840,-8,8,-0.0095238095238095,net_outflow_shortage
3 Ave & Franklin Ave,679,40.82696,-73.907451,687,1366,8,8,0.0058565153733528,net_inflow_accumulation
3 Ave & Schermerhorn St,3052,40.68683208,-73.9796772,3083,6135,31,31,0.0050529747351263,net_inflow_accumulation
3 Ave & Wakeman Pl,324,40.638246,-74.024714,344,668,20,20,0.029940119760479,net_inflow_accumulation
3 St & 3 Ave,1836,40.6750705,-73.98775226,1871,3707,35,35,0.0094415969786889,net_inflow_accumulation
3 St & 7 Ave,3994,40.6703837,-73.97839676,4000,7994,6,6,0.0007505629221916,net_inflow_accumulation
3 St & Hoyt St,1380,40.6777287,-73.99364123,1384,2764,4,4,0.0014471780028943,net_inflow_accumulation
3 St & Prospect Park West,4990,40.668132,-73.97363831,4994,9984,4,4,0.000400641025641,net_inflow_accumulation
30 Ave & 12 St,798,40.77171710520828,-73.93159255385399,809,1607,11,11,0.0068450528935905,net_inflow_accumulation
30 Ave & 21 St,837,40.7703743,-73.9286078,851,1688,14,14,0.0082938388625592,net_inflow_accumulation
30 Ave & 41 St,1778,40.763422,-73.914142,1781,3559,3,3,0.0008429334082607,net_inflow_accumulation
30 Ave & 47 St,220,40.761294,-73.909562,242,462,22,22,0.0476190476190476,net_inflow_accumulation
30 Ave & 70 St,428,40.76013,-73.89741,428,856,0,0,0.0,balanced
30 Ave & 80 St,243,40.76109,-73.88838,261,504,18,18,0.0357142857142857,net_inflow_accumulation
30 Ave & 96 St,177,40.76086,-73.87308,180,357,3,3,0.0084033613445378,net_inflow_accumulation
30 St & 4 Ave,584,40.657743,-74.001141,591,1175,7,7,0.0059574468085106,net_inflow_accumulation
30 St & 48 Ave,371,40.7413272,-73.937999,369,740,-2,2,-0.0027027027027027,net_outflow_shortage
31 Ave & 103 St,161,40.76134,-73.86666,166,327,5,5,0.0152905198776758,net_inflow_accumulation
31 Ave & 14 St,1254,40.7682,-73.9322662,1253,2507,-1,1,-0.0003988831272437,net_outflow_shortage
31 Ave & 30 St,1697,40.7647,-73.9240312,1672,3369,-25,25,-0.0074205995844464,net_outflow_shortage
31 Ave & 34 St,2352,40.763154,-73.920827,2343,4695,-9,9,-0.0019169329073482,net_outflow_shortage
31 Ave & 57 St,455,40.757357,-73.904726,463,918,8,8,0.008714596949891,net_inflow_accumulation
31 Ave & 61 St,239,40.757525,-73.901614,252,491,13,13,0.0264765784114052,net_inflow_accumulation
31 Ave & 84 St,260,40.75947,-73.88431,277,537,17,17,0.031657355679702,net_inflow_accumulation
31 Ave & 86 St,317,40.75958,-73.88219,322,639,5,5,0.0078247261345852,net_inflow_accumulation
31 Ave & Crescent St,1629,40.7658346,-73.9265474,1627,3256,-2,2,-0.0006142506142506,net_outflow_shortage
31 Ave & Steinway St,2383,40.7611488,-73.9170071,2404,4787,21,21,0.0043868811364111,net_inflow_accumulation
31 Pl & Hunters Point Ave,278,40.74021356884924,-73.93537044525146,277,555,-1,1,-0.0018018018018018,net_outflow_shortage
31 St & 21 Ave,1132,40.77813,-73.90842,1142,2274,10,10,0.0043975373790677,net_inflow_accumulation
31 St & Astoria Blvd,1793,40.7699176,-73.9184057,1767,3560,-26,26,-0.0073033707865168,net_outflow_shortage
31 St & Broadway,4625,40.76211,-73.92523,4582,9207,-43,43,-0.0046703595090691,net_outflow_shortage
31 St & Ditmars Blvd,3869,40.776168,-73.910485,3889,7758,20,20,0.002577984016499,net_inflow_accumulation
31 St & Hoyt Ave N,1291,40.7711528,-73.9170074,1315,2606,24,24,0.0092095165003837,net_inflow_accumulation
31 St & Newtown Ave,4049,40.7675487799971,-73.9209334552288,3994,8043,-55,55,-0.0068382444361556,net_outflow_shortage
31 St & Northern Blvd,1898,40.75186951421875,-73.93349289894103,1824,3722,-74,74,-0.0198817839871037,net_outflow_shortage
31 St & Thomson Ave,645,40.74469738,-73.93540375,634,1279,-11,11,-0.0086004691164972,net_outflow_shortage
32 Ave & 75 St,395,40.75704,-73.8924,382,777,-13,13,-0.0167310167310167,net_outflow_shortage
32 Ave & 77 St,224,40.75727,-73.89024,244,468,20,20,0.0427350427350427,net_inflow_accumulation
32 Ave & 81 St,533,40.75763,-73.88682,541,1074,8,8,0.0074487895716946,net_inflow_accumulation
32 Ave & 84 St,189,40.75793,-73.88401,180,369,-9,9,-0.024390243902439,net_outflow_shortage
33 St & 47 Ave,389,40.74283,-73.9321,401,790,12,12,0.0151898734177215,net_inflow_accumulation
33 St & Queens Blvd,725,40.7443653191867,-73.93172398209572,713,1438,-12,12,-0.0083449235048678,net_outflow_shortage
34 Ave & 108 St,207,40.75614,-73.86084,213,420,6,6,0.0142857142857142,net_inflow_accumulation
34 Ave & 113 St,138,40.75696,-73.85612,147,285,9,9,0.031578947368421,net_inflow_accumulation
34 Ave & 13 St,503,40.7638753,-73.9364848,510,1013,7,7,0.0069101678183613,net_inflow_accumulation
34 Ave & 21 St,741,40.7628138,-73.9342862,726,1467,-15,15,-0.0102249488752556,net_outflow_shortage
34 Ave & 38 St,2099,40.756913,-73.921631,2117,4216,18,18,0.00426944971537,net_inflow_accumulation
34 Ave & 45 St,806,40.754795,-73.917014,807,1613,1,1,0.0006199628022318,net_inflow_accumulation
34 Ave & 48 St,834,40.75388,-73.914952,864,1698,30,30,0.0176678445229682,net_inflow_accumulation
34 Ave & 71 St,994,40.75257,-73.89538,988,1982,-6,6,-0.0030272452068617,net_outflow_shortage
34 Ave & 74 St,1146,40.75297,-73.89236,1151,2297,5,5,0.0021767522855899,net_inflow_accumulation
34 Ave & 83 St,1224,40.75375,-73.88423,1236,2460,12,12,0.0048780487804878,net_inflow_accumulation
34 Ave & 89 St,1268,40.75437,-73.87833,1260,2528,-8,8,-0.0031645569620253,net_outflow_shortage
34 Ave & Junction Blvd,634,40.75502,-73.87285,613,1247,-21,21,-0.0168404170008019,net_outflow_shortage
34 St & 35 Ave,1311,40.7569332,-73.9262231,1334,2645,23,23,0.008695652173913,net_inflow_accumulation
34 St & 38 Ave,983,40.752443,-73.929737,966,1949,-17,17,-0.008722421754746,net_outflow_shortage
34 St & 4 Ave,703,40.655278,-74.003101,731,1434,28,28,0.0195258019525801,net_inflow_accumulation
34 St & 48 Ave,232,40.740821207823245,-73.93147185444832,226,458,-6,6,-0.0131004366812227,net_outflow_shortage
34 St & 5 Ave,272,40.654098,-74.001131,283,555,11,11,0.0198198198198198,net_inflow_accumulation
34th Ave & Vernon Blvd,1262,40.76535380385866,-73.93986314535141,1256,2518,-6,6,-0.0023828435266084,net_outflow_shortage
35 Ave & 10 St,1466,40.76315481910373,-73.93985509872437,1407,2873,-59,59,-0.0205360250609119,net_outflow_shortage
35 Ave & 37 St,1866,40.7557327,-73.9236611,1885,3751,19,19,0.0050653159157557,net_inflow_accumulation
35 St & 21 Ave,556,40.776745,-73.906558,574,1130,18,18,0.015929203539823,net_inflow_accumulation
35 St & 23 Ave,864,40.77301508291382,-73.91119033098221,876,1740,12,12,0.0068965517241379,net_inflow_accumulation
35 St & 30 Ave,2113,40.76547569244953,-73.91811579465866,2096,4209,-17,17,-0.0040389641244951,net_outflow_shortage
35 St & 34 Ave,1509,40.7580583,-73.9242751,1512,3021,3,3,0.0009930486593843,net_inflow_accumulation
35 St & Broadway,1666,40.760339,-73.9222427,1682,3348,16,16,0.004778972520908,net_inflow_accumulation
36 Ave & 10 St,949,40.7614376,-73.9411265,965,1914,16,16,0.0083594566353187,net_inflow_accumulation
